Latitude,Longitude,지역별 겨래량,법정동주소
37.7329291,128.9762455,30,강원특별자치도 강릉시 강동면 안인리
37.7726788,128.9430612,545,강원특별자치도 강릉시 견소동
37.7674347,128.8880731,1749,강원특별자치도 강릉시 교동
37.7537085,128.8963884,6,강원특별자치도 강릉시 금학동
37.7494593,128.8894712,38,강원특별자치도 강릉시 남문동
37.7376414,128.875436,676,강원특별자치도 강릉시 내곡동
37.7436407,128.9006479,829,강원특별자치도 강릉시 노암동
37.8416208,128.8674164,4,강원특별자치도 강릉시 사천면 사천진리
37.752771,128.8995645,6,강원특별자치도 강릉시 성남동
37.7760607,128.9329075,419,강원특별자치도 강릉시 송정동
37.8675279,128.8405508,250,강원특별자치도 강릉시 연곡면 영진리
37.6084652,129.0283782,6,강원특별자치도 강릉시 옥계면 현내리
37.7585472,128.9015863,8,강원특별자치도 강릉시 옥천동
37.7666534,128.8604656,155,강원특별자치도 강릉시 유천동
37.7557932,128.8943897,8,강원특별자치도 강릉시 임당동
37.7574121,128.916758,2593,강원특별자치도 강릉시 입암동
37.7988289,128.8926735,98,강원특별자치도 강릉시 저동
37.8779045,128.8181481,592,강원특별자치도 강릉시 주문진읍 교항리
37.8977596,128.8184944,187,강원특별자치도 강릉시 주문진읍 주문리
37.7748657,128.8696831,76,강원특별자치도 강릉시 지변동
37.7907505,128.9115249,570,강원특별자치도 강릉시 초당동
37.7740982,128.9079725,1263,강원특별자치도 강릉시 포남동
37.7512918,128.8718733,633,강원특별자치도 강릉시 홍제동
37.7382908,128.8660041,209,강원특별자치도 강릉시 회산동
38.3825376,128.4630941,74,강원특별자치도 고성군 간성읍 상리
38.379239,128.4756437,205,강원특별자치도 고성군 간성읍 신안리
38.4481531,128.4551093,41,강원특별자치도 고성군 거진읍 거진리
38.4288974,128.4445111,62,강원특별자치도 고성군 거진읍 송포리
38.2463522,128.5589022,31,강원특별자치도 고성군 토성면 봉포리
38.255626,128.5498681,25,강원특별자치도 고성군 토성면 천진리
38.266851,128.5494537,122,강원특별자치도 고성군 토성면 청간리
37.4839017,129.1332398,45,강원특별자치도 동해시 구미동
