시도,시도별_평균_평당가격,시도별_평당가격_중앙값,시도별_총_거래금액,시도별_평균_거래금액,시도별_거래금액_중앙값,시도별_총_거래량
강원특별자치도,667.2531758186409,596.577825420886,1226720483,14899.680355147451,12450.0,82332
경기도,1623.92501509119,1320.769635930848,26853053693,37971.69866626319,30400.0,707186
경상남도,845.3307082409391,752.3875715453802,3737493995,19613.11073619471,16800.0,190561
경상북도,653.3614035808499,584.0989399293286,1773811719,15158.581394156405,12600.0,117017
광주광역시,869.3030036478609,741.3828602518379,2080121503,20911.207983995817,16350.0,99474
대구광역시,1142.7909219651829,1003.8272511580612,3926127078,28308.652952628163,23300.0,138690
대전광역시,1042.0131277568987,883.6241610738255,2195757132,24655.360910867075,20000.0,89058
부산광역시,1190.507235274835,995.7831325301206,6773466650,29294.973747491524,23000.0,231216
서울특별시,3302.7209222412584,2610.2050436012255,25658512934,77368.57114340851,57000.0,331640
세종특별자치시,1730.3911668047365,1768.0468984287054,803854898,40742.772326406484,39000.0,19730
울산광역시,1044.252396515964,943.1531531531532,2030240294,25352.334436383164,21700.0,80081
인천광역시,1258.8161962400065,1101.0601635400685,4482942482,29011.302334912376,24500.0,154524
전라남도,614.8293968780645,524.7619047619048,1053376522,13834.732361439454,10500.0,76140
전북특별자치도,694.4897814458168,587.7273284564143,1588917006,16218.072571755196,12650.0,97972
제주특별자치도,1086.8524926112957,966.3932107496464,298437456,23789.354802710244,20000.0,12545
충청남도,776.7974826260389,694.5026575550494,2096902367,17645.197766688827,15000.0,118837
충청북도,738.8051834823988,659.0338847797793,1494865901,16693.086554997208,13700.0,89550
